5k net
link numbers: 433028
pagerank top 100:

1577 0.0017317005402474057
3361 0.001718253587312129
13828 0.0017138245435600183
4587 0.001702937004069997
738 0.0016935212253267075
766 0.0016933248562954048
743 0.0016672475171059255
898 0.0016617973738388017
1251 0.0016529148327041005
3456 0.0016524203542373714
10299 0.0016509042164826217
1017 0.0016432248115237254
13909 0.0016373523681095616
739 0.0015999825867634935
655 0.0015898210612389004
13847 0.0015823367395677798
297 0.0015803821409995354
13204 0.0015706081352677872
22 0.0015539513342435233
6870 0.0015512754386812254
138 0.0015461570307203913
1679 0.0015428669251834636
837 0.001535058215137778
2757 0.001531926151449218
13607 0.0015318516859084677
3985 0.0015292584188842217
13219 0.0015253085570019593
909 0.0015188259134019293
208 0.00151268289879954

50k net
link numbers: 9441
pagerank top 100:

948 0.01588044549736786
1698 0.014511573918848277
397 0.014238709079473387
1 0.014083324926277192
12151 0.011351366280608703
13806 0.01128892137134014
13207 0.01097273373576081
1613 0.010925615084067582
435 0.01078655228652278
2743 0.010540751514616142
13186 0.009881080008750352
13808 0.009747771527016587
2045 0.009745602508943506
501 0.009551312896058487
225 0.009191504936658143
907 0.009049623680763072
763 0.009049103908164003
13847 0.008935496508984214
4252 0.008918402790956986
214 0.008863200956065742
984 0.00885282045773515
101 0.008837680470028505
867 0.008765446988981662
144 0.008735218348537825
4327 0.008637275215229136
13217 0.008360170344954036
1389 0.008100071738083792
1117 0.008013082493038101
1296 0.007773468429308517
1295 0.007709251431618874
13653 0.007706311653742477
6728 0.007654389399333352
568 0.007581661916772151
1646 0.007494038990093187
188 0.0074823904264161144
1814 0.007443650406750516
667 0.007433988748857622
13846 0.0072973291833019404
13766 0.007272951598700315
3604 0.007112982259359313
647 0.007090421786032955
1017 0.0070538110685114605
3032 0.00686712134891002
9436 0.0068593049782748996
13607 0.006810955477910112
14012 0.006753408075066597
555 0.006691599218955562
13208 0.006689144180971329
738 0.006578930831230896
3211 0.006559133841328516
13978 0.006408097866934287
13841 0.0062560321007611025
13657 0.006211721629696236
743 0.006187323614176549
2753 0.006136775049228589
13909 0.0061010292373993285
2757 0.00607216777525231
780 0.006053542969060572
297 0.006044169869875523
869 0.006026553617209013
460 0.00601478487397863
13216 0.006011758045951401
13044 0.006004790441499898
138 0.005944967769820105
14002 0.005940753379117598
2887 0.005899052878279386
208 0.0058726299777805465
13815 0.005840662610774682
1251 0.0058286285255843935
22 0.005758258139365609
13838 0.005662171970008642
13832 0.0056603081754426085
712 0.005591290585173716
800 0.005532107828302717
12685 0.005374119157967902
655 0.005293542075380328
10299 0.0052505051689808475
14171 0.005239119161446473
4587 0.005234105697125429
898 0.005205147997584423
13182 0.005145687441587709
2386 0.00511505216601011
6947 0.005010648248171698
203 0.004972840097021703
433 0.004961687342942656
13842 0.004956628940575037
13824 0.004929905303186504
13747 0.004885706118053296
902 0.004884533316388005
739 0.004859811215662791
5885 0.004848104850915413
1317 0.004785946776912793
13765 0.004776769796701709
2654 0.004774426470582333
2881 0.004750876303451758
1498 0.004682387161834116
13204 0.004637256155672562
1333 0.004563207169487104
13823 0.004527804808038631
13828 0.004441198825827578
